eventId,timeUtc,sourceRawLines,exactDuplicateCopiesRemoved,identity,userPrincipalName,userType,callerIpAddress,location,autonomousSystemNumber,correlationId,category,operationName,isInteractive,clientAppUsed,operatingSystem,browser,deviceId,userAgent,appDisplayName,resourceDisplayName,resultType,errorCode,failureReason,additionalDetails,authenticationRequirement,authenticationProtocol,authenticationSteps,conditionalAccessStatus,appliedConditionalAccessPolicies,riskLevelDuringSignIn,riskLevelAggregated,riskState,riskDetail,riskEventTypes
E01,2023-01-24T23:13:31.9430219Z,14,0,User30,user30@splunkresearch.com,Member,35.1.2.153,US,16509,2a0a0eeb-1ded-4d8c-a7a7-4a2d0b2bec37,SignInLogs,Sign-in activity,true,Browser,Windows 10,Firefox 108.0,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0,Azure Portal,Windows Azure Service Management API,50074,50074,Strong Authentication is required.,MFA successfully completed,multiFactorAuthentication,none,step1[requestSequence=1; statusSequence=0; time=2023-01-24T23:13:31.9430219+00:00; method=Password; methodDetail=Password in the cloud; requirement=Primary authentication; succeeded=true; result=Correct password] || step2[time=2023-01-24T23:13:31.9430219+00:00; method=Mobile app notification; requirement=Primary authentication; succeeded=true; result=MFA successfully completed],notApplied,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Security Defaults"",""enforcedGrantControls"":[""Mfa""],""enforcedSessionControls"":[],""id"":""SecurityDefaults"",""result"":""failure""}]",none,none,none,none,[]
E02,2023-01-24T23:13:31.9430219Z,15,0,User30,user30@splunkresearch.com,Member,35.1.2.153,US,16509,2a0a0eeb-1ded-4d8c-a7a7-4a2d0b2bec37,SignInLogs,Sign-in activity,true,Browser,Windows 10,Firefox 108.0,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0,Azure Portal,Windows Azure Service Management API,50074,50074,Strong Authentication is required.,Authentication in progress,multiFactorAuthentication,none,step1[requestSequence=1; statusSequence=0; time=2023-01-24T23:13:31.9430219+00:00; method=Password; methodDetail=Password in the cloud; requirement=Primary authentication; succeeded=true; result=Correct password] || step2[time=2023-01-24T23:13:31.9430219+00:00; method=Mobile app notification; requirement=Primary authentication; succeeded=false; result=Authentication in progress],notApplied,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Security Defaults"",""enforcedGrantControls"":[""Mfa""],""enforcedSessionControls"":[],""id"":""SecurityDefaults"",""result"":""failure""}]",none,none,none,none,[]
E03,2023-01-24T23:13:41.5688166Z,13,0,User30,user30@splunkresearch.com,Member,35.1.2.153,US,16509,2a0a0eeb-1ded-4d8c-a7a7-4a2d0b2bec37,SignInLogs,Sign-in activity,true,Browser,Windows 10,Firefox 108.0,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0,Azure Portal,Windows Azure Service Management API,50140,50140,This error occurred due to 'Keep me signed in' interrupt when the user was signing-in.,MFA completed in Azure AD,multiFactorAuthentication,none,step1[requestSequence=1; statusSequence=0; time=2023-01-24T23:13:41.5688166+00:00; method=Password; methodDetail=Password in the cloud; requirement=Primary authentication; succeeded=true; result=Correct password] || step2[time=2023-01-24T23:13:41.5688166+00:00; method=Mobile app notification; requirement=Primary authentication; succeeded=true; result=MFA completed in Azure AD],notApplied,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Security Defaults"",""enforcedGrantControls"":[""Mfa""],""enforcedSessionControls"":[],""id"":""SecurityDefaults"",""result"":""success""}]",none,none,none,none,[]
E04,2023-01-24T23:13:59.6333567Z,12,0,User30,user30@splunkresearch.com,Member,50.1.2.43,US,12271,44d49905-b1a6-4cdb-87ad-26d7b867c18e,SignInLogs,Sign-in activity,true,Browser,MacOs,Chrome 108.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",OfficeHome,OfficeHome,0,0,,MFA requirement satisfied by claim in the token,multiFactorAuthentication,none,step1[requestSequence=0; statusSequence=0; time=2023-01-24T23:13:59.6333567+00:00; method=Previously satisfied; requirement=Primary authentication; succeeded=true; result=First factor requirement satisfied by claim in the token] || step2[time=2023-01-24T23:13:59.6333567+00:00; method=Previously satisfied; requirement=Primary authentication; succeeded=true; result=MFA requirement satisfied by claim in the token],notApplied,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Security Defaults"",""enforcedGrantControls"":[],""enforcedSessionControls"":[],""id"":""SecurityDefaults"",""result"":""success""}]",none,none,none,none,[]
E05,2023-01-24T23:14:02.3580206Z,11,0,User30,user30@splunkresearch.com,Member,50.1.2.43,US,12271,ce176678-b97a-40b2-a65d-d7ee1ee1a574,SignInLogs,Sign-in activity,true,Browser,MacOs,Chrome 108.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Azure Portal,Windows Azure Service Management API,0,0,,MFA requirement satisfied by claim in the token,multiFactorAuthentication,none,step1[requestSequence=0; statusSequence=0; time=2023-01-24T23:14:02.3580206+00:00; method=Previously satisfied; requirement=Primary authentication; succeeded=true; result=First factor requirement satisfied by claim in the token] || step2[time=2023-01-24T23:14:02.3580206+00:00; method=Previously satisfied; requirement=Primary authentication; succeeded=true; result=MFA requirement satisfied by claim in the token],notApplied,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Security Defaults"",""enforcedGrantControls"":[""Mfa""],""enforcedSessionControls"":[],""id"":""SecurityDefaults"",""result"":""success""}]",none,none,none,none,[]
E06,2023-01-24T23:14:31.2617575Z,8,0,User30,user30@splunkresearch.com,Member,50.1.2.43,US,12271,ce176678-b97a-40b2-a65d-d7ee1ee1a574,SignInLogs,Sign-in activity,true,Browser,MacOs,Chrome 108.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Azure Portal,Windows Azure Service Management API,50140,50140,This error occurred due to 'Keep me signed in' interrupt when the user was signing-in.,MFA completed in Azure AD,multiFactorAuthentication,none,step1[requestSequence=1; statusSequence=0; time=2023-01-24T23:14:31.2617575+00:00; method=Password; methodDetail=Password in the cloud; requirement=Primary authentication; succeeded=true; result=Correct password] || step2[time=2023-01-24T23:14:31.2617575+00:00; method=Mobile app notification; requirement=Primary authentication; succeeded=true; result=MFA completed in Azure AD],notApplied,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Security Defaults"",""enforcedGrantControls"":[""Mfa""],""enforcedSessionControls"":[],""id"":""SecurityDefaults"",""result"":""success""}]",none,none,none,none,[]
E07,2023-01-24T23:14:31.2617575Z,9;10,1,User30,user30@splunkresearch.com,Member,50.1.2.43,US,12271,ce176678-b97a-40b2-a65d-d7ee1ee1a574,SignInLogs,Sign-in activity,true,Browser,MacOs,Chrome 108.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Azure Portal,Windows Azure Service Management API,50140,50140,This error occurred due to 'Keep me signed in' interrupt when the user was signing-in.,MFA completed in Azure AD,multiFactorAuthentication,none,step1[time=2023-01-24T23:14:31.2617575+00:00; method=Mobile app notification; requirement=Primary authentication; succeeded=true; result=MFA completed in Azure AD],notApplied,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Security Defaults"",""enforcedGrantControls"":[""Mfa""],""enforcedSessionControls"":[],""id"":""SecurityDefaults"",""result"":""success""}]",none,none,none,none,[]
E08,2023-01-24T23:14:36.6935820Z,7,0,User30,user30@splunkresearch.com,Member,50.1.2.43,US,12271,ce176678-b97a-40b2-a65d-d7ee1ee1a574,SignInLogs,Sign-in activity,true,Browser,MacOs,Chrome 108.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Azure Portal,Windows Azure Service Management API,0,0,,MFA requirement satisfied by claim in the token,multiFactorAuthentication,none,step1[time=2023-01-24T23:14:36.693582+00:00; method=Previously satisfied; requirement=Primary authentication; succeeded=true; result=MFA requirement satisfied by claim in the token],notApplied,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Security Defaults"",""enforcedGrantControls"":[""Mfa""],""enforcedSessionControls"":[],""id"":""SecurityDefaults"",""result"":""success""}]",none,none,none,none,[]
E09,2023-01-24T23:14:42.3493074Z,6,0,User30,user30@splunkresearch.com,Member,50.1.2.43,US,12271,e62d765f-b4d8-484f-9fdd-2832eb48af81,SignInLogs,Sign-in activity,true,Browser,MacOs,Chrome 108.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",OfficeHome,OfficeHome,0,0,,MFA requirement satisfied by claim in the token,multiFactorAuthentication,none,step1[requestSequence=0; statusSequence=0; time=2023-01-24T23:14:42.3493074+00:00; method=Previously satisfied; requirement=Primary authentication; succeeded=true; result=First factor requirement satisfied by claim in the token] || step2[time=2023-01-24T23:14:42.3493074+00:00; method=Previously satisfied; requirement=Primary authentication; succeeded=true; result=MFA requirement satisfied by claim in the token],notApplied,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Security Defaults"",""enforcedGrantControls"":[],""enforcedSessionControls"":[],""id"":""SecurityDefaults"",""result"":""success""}]",none,none,none,none,[]
E10,2023-01-24T23:14:44.5524670Z,5,0,User30,user30@splunkresearch.com,Member,50.1.2.43,US,12271,92eedfa3-4049-4973-9da6-fa9b670680bb,SignInLogs,Sign-in activity,true,Browser,MacOs,Chrome 108.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Office365 Shell WCSS-Client,Microsoft Graph,0,0,,MFA requirement satisfied by claim in the token,multiFactorAuthentication,none,step1[requestSequence=0; statusSequence=0; time=2023-01-24T23:14:44.552467+00:00; method=Previously satisfied; requirement=Primary authentication; succeeded=true; result=First factor requirement satisfied by claim in the token] || step2[time=2023-01-24T23:14:44.552467+00:00; method=Previously satisfied; requirement=Primary authentication; succeeded=true; result=MFA requirement satisfied by claim in the token],notApplied,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Security Defaults"",""enforcedGrantControls"":[],""enforcedSessionControls"":[],""id"":""SecurityDefaults"",""result"":""success""}]",none,none,none,none,[]
